id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1235531196059786901,"Room with Sauna, Gym, Steam Room",467182517,Maria,,Dn Laoghaire-Rathdown,53.28116,-6.24251,Private room,94,3,1,2024-09-20,0.18,1,3,1,
1235736723762354882,Cozy room available to let,489250026,Nikita,,South Dublin,53.34711,-6.4624,Private room,60,1,3,2025-03-01,0.52,1,83,3,
1235771719961805077,Two rooms total 5.5 persons max,580144310,Manoj,,Fingal,53.40313,-6.42036,Private room,126,1,1,2024-10-13,0.21,5,345,1,
1236232306288385565,"Quiet apt, in Dublin 4!",268990098,Daniel,,Dublin City,53.32810957849318,-6.222479965827664,Entire home/apt,223,14,6,2025-01-03,1.70,15,1,6,
1236242735459944396,"Double room,3.5km frm Dublin city, golf/sea nearby",65860574,Claire Emily,,Dublin City,53.373315277874646,-6.220724321901798,Private room,94,1,7,2025-01-01,1.16,1,1,7,
1236253776239844816,Comfortable central king size bed with balcony,6506439,Malachy,,Dublin City,53.35587,-6.2402,Private room,,1,1,2025-01-05,0.48,2,0,1,
1236983222701471434,City and Seascape Experience,91116301,Christina,,Dn Laoghaire-Rathdown,53.2877,-6.12654,Private room,,2,1,2024-11-03,0.24,2,1,1,
1237013206204861096,ST Patrick days rooms,152684452,Samila,,Dublin City,53.39926185796582,-6.256862906274621,Private room,500,4,0,,,1,313,0,
1237183463954773653,Small Studio mins walks to city centre,467883998,Joe,,Dublin City,53.35817,-6.26857,Entire home/apt,90,3,5,2025-02-16,1.09,4,83,5,
1237536599735855135,Room in Dublin,45472530,Ladislau,,Dublin City,53.35176,-6.26298,Private room,95,1,12,2024-12-28,2.00,1,73,12,
1237635793989973884,Beautiful Double Bedroom in Dublin 8,483024454,Lucas,,Dublin City,53.33252,-6.26694,Private room,,14,4,2024-11-30,0.72,90,0,4,
1222239569890067757,A central and quite place,595887756,Murat,,South Dublin,53.3514,-6.41625,Private room,105,1,1,2024-08-31,0.16,1,190,1,
1222243220150488463,Dublin 4 Irishtown double room,6184554,Franky,,Dublin City,53.34130438663543,-6.222882149313749,Private room,158,1,0,,,2,191,0,
